unique_id,model_filename,model_identifier,candidate,n_models_fitted,mae_oos,rmse_oos
614173,614173_spOOS_nb_model_6,90,traffic,5,8.586948904,36.03284288
822913,822913_spOOS_nb_model_7,103,flushany,5,8.796530947,36.28826838
205839,205839_spOOS_nb_model_4,112,urban,5,8.563182389,35.75688185
811847,811847_spOOS_nb_model_2,26,tmean_coolest,5,8.573226629,35.93307426
827559,827559_spOOS_nb_model_1,13,full,5,8.543173106,35.38932242
822913,822913_spOOS_nb_model_1,97,full,5,8.524611946,35.28087806
811847,811847_spOOS_nb_model_7,31,flushany,5,8.837352858,36.42710975
822913,822913_spOOS_nb_model_3,99,gravity,5,8.492760608,35.50928853
564117,564117_spOOS_nb_model_8,44,water,5,8.503803486,35.39736179
93383,93383_spOOS_nb_model_10,10,spei1,5,8.567355696,35.63232712
205839,205839_spOOS_nb_model_8,116,water,5,8.558937631,35.7842751
827559,827559_spOOS_nb_model_6,18,traffic,5,8.518031713,35.68452419
93383,93383_spOOS_nb_model_2,2,tmean_coolest,5,8.636111446,36.15322309
614173,614173_spOOS_nb_model_4,88,urban,5,8.589979478,35.76600979
41619,41619_spOOS_nb_model_11,59,spei6,5,8.481608592,35.27566333
564117,564117_spOOS_nb_model_11,47,spei6,5,8.457853047,35.11701952
811847,811847_spOOS_nb_model_8,32,water,5,8.548852697,35.66650719
41619,41619_spOOS_nb_model_7,55,flushany,5,8.802409945,36.33041523
412110,412110_spOOS_nb_model_1,61,full,5,8.623626205,35.86737119
279666,279666_spOOS_nb_model_9,81,tmean,5,8.519268324,35.70643621
564117,564117_spOOS_nb_model_3,39,gravity,5,8.458863116,35.37247924
41619,41619_spOOS_nb_model_7,55,flushany,5,8.802409945,36.33041523
614173,614173_spOOS_nb_model_1,85,full,5,8.602015483,35.78517801
93383,93383_spOOS_nb_model_baseline,12,baseline,5,9.152026184,40.75222813
93383,93383_spOOS_nb_model_1,1,full,5,8.538078955,35.61173902
822913,822913_spOOS_nb_model_8,104,water,5,8.628195158,35.7911802
822913,822913_spOOS_nb_model_baseline,108,baseline,5,9.187452401,40.62386461
41619,41619_spOOS_nb_model_5,53,urbanexp10,5,8.616871399,35.69476152
564117,564117_spOOS_nb_model_baseline,48,baseline,5,9.186145791,40.61852276
412110,412110_spOOS_nb_model_4,64,urban,5,8.591775032,35.71602182
822913,822913_spOOS_nb_model_11,107,spei6,5,8.519632942,35.34303318
279666,279666_spOOS_nb_model_4,76,urban,5,8.501997363,35.58690539
614173,614173_spOOS_nb_model_1,85,full,5,8.602015483,35.78517801
811847,811847_spOOS_nb_model_6,30,traffic,5,8.450661122,35.75372523
827559,827559_spOOS_nb_model_10,22,spei1,5,8.587380933,35.43543884
614173,614173_spOOS_nb_model_7,91,flushany,5,8.911003655,37.21831982
205839,205839_spOOS_nb_model_1,109,full,5,8.523233808,35.5713165
41619,41619_spOOS_nb_model_3,51,gravity,5,8.442313212,35.40447732
614173,614173_spOOS_nb_model_3,87,gravity,5,8.598124125,36.01485288
614173,614173_spOOS_nb_model_2,86,tmean_coolest,5,8.66925867,36.00651809
41619,41619_spOOS_nb_model_2,50,tmean_coolest,5,8.565570819,35.69628045
822913,822913_spOOS_nb_model_4,100,urban,5,8.553632791,35.42061956
827559,827559_spOOS_nb_model_5,17,urbanexp10,5,8.762195849,35.98797563
412110,412110_spOOS_nb_model_9,69,tmean,5,8.695057205,36.28253323
41619,41619_spOOS_nb_model_2,50,tmean_coolest,5,8.565570819,35.69628045
822913,822913_spOOS_nb_model_6,102,traffic,5,8.55394953,35.83018027
412110,412110_spOOS_nb_model_3,63,gravity,5,8.553338371,35.82952357
822913,822913_spOOS_nb_model_4,100,urban,5,8.553632791,35.42061956
41619,41619_spOOS_nb_model_10,58,spei1,5,8.509851993,35.24630512
41619,41619_spOOS_nb_model_8,56,water,5,8.556907699,35.78721505
827559,827559_spOOS_nb_model_5,17,urbanexp10,5,8.762195849,35.98797563
412110,412110_spOOS_nb_model_9,69,tmean,5,8.695057205,36.28253323
412110,412110_spOOS_nb_model_8,68,water,5,8.764031237,36.58214241
827559,827559_spOOS_nb_model_9,21,tmean,5,8.609722198,35.73231356
93383,93383_spOOS_nb_model_3,3,gravity,5,8.502577981,35.75783523
205839,205839_spOOS_nb_model_3,111,gravity,5,8.53658324,35.90792576
41619,41619_spOOS_nb_model_baseline,60,baseline,5,9.151716231,40.57631781
279666,279666_spOOS_nb_model_11,83,spei6,5,8.446824691,35.31766482
614173,614173_spOOS_nb_model_9,93,tmean,5,8.64959664,35.98599892
41619,41619_spOOS_nb_model_2,50,tmean_coolest,5,8.565570819,35.69628045
564117,564117_spOOS_nb_model_6,42,traffic,5,8.495916698,35.6637481
811847,811847_spOOS_nb_model_11,35,spei6,5,8.479194547,35.38878403
41619,41619_spOOS_nb_model_10,58,spei1,5,8.509851993,35.24630512
41619,41619_spOOS_nb_model_3,51,gravity,5,8.442313212,35.40447732
279666,279666_spOOS_nb_model_6,78,traffic,5,8.492316247,35.80635537
41619,41619_spOOS_nb_model_10,58,spei1,5,8.509851993,35.24630512
412110,412110_spOOS_nb_model_10,70,spei1,5,8.683905919,35.89301078
41619,41619_spOOS_nb_model_6,54,traffic,5,8.49464117,35.72878438
93383,93383_spOOS_nb_model_11,11,spei6,5,8.523926352,35.55733566
412110,412110_spOOS_nb_model_baseline,72,baseline,5,9.171231874,40.54442602
93383,93383_spOOS_nb_model_6,6,traffic,5,8.54756539,36.02898314
93383,93383_spOOS_nb_model_3,3,gravity,5,8.502577981,35.75783523
827559,827559_spOOS_nb_model_baseline,24,baseline,5,9.185984898,40.52147669
614173,614173_spOOS_nb_model_5,89,urbanexp10,5,8.720706008,36.15511356
412110,412110_spOOS_nb_model_8,68,water,5,8.764031237,36.58214241
41619,41619_spOOS_nb_model_9,57,tmean,5,8.551550867,35.59319979
412110,412110_spOOS_nb_model_7,67,flushany,5,8.921903695,36.97515479
412110,412110_spOOS_nb_model_5,65,urbanexp10,5,8.786000671,36.34604889
279666,279666_spOOS_nb_model_baseline,84,baseline,5,9.178781117,40.74309645
822913,822913_spOOS_nb_model_10,106,spei1,5,8.572930422,35.45458079
412110,412110_spOOS_nb_model_5,65,urbanexp10,5,8.786000671,36.34604889
412110,412110_spOOS_nb_model_2,62,tmean_coolest,5,8.735949442,36.40512602
811847,811847_spOOS_nb_model_4,28,urban,5,8.509925393,35.39434853
93383,93383_spOOS_nb_model_8,8,water,5,8.564966437,35.76580809
412110,412110_spOOS_nb_model_5,65,urbanexp10,5,8.786000671,36.34604889
205839,205839_spOOS_nb_model_7,115,flushany,5,8.871242405,36.75299062
412110,412110_spOOS_nb_model_7,67,flushany,5,8.921903695,36.97515479
827559,827559_spOOS_nb_model_2,14,tmean_coolest,5,8.625217515,35.79442781
811847,811847_spOOS_nb_model_9,33,tmean,5,8.516982209,35.53196845
827559,827559_spOOS_nb_model_3,15,gravity,5,8.559656313,35.66311423
93383,93383_spOOS_nb_model_6,6,traffic,5,8.54756539,36.02898314
811847,811847_spOOS_nb_model_10,34,spei1,5,8.516730683,35.39974829
811847,811847_spOOS_nb_model_9,33,tmean,5,8.516982209,35.53196845
93383,93383_spOOS_nb_model_6,6,traffic,5,8.54756539,36.02898314
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
811847,811847_spOOS_nb_model_4,28,urban,5,8.509925393,35.39434853
614173,614173_spOOS_nb_model_3,87,gravity,5,8.598124125,36.01485288
822913,822913_spOOS_nb_model_2,98,tmean_coolest,5,8.636811095,35.83502018
279666,279666_spOOS_nb_model_10,82,spei1,5,8.490797955,35.34784205
827559,827559_spOOS_nb_model_7,19,flushany,5,9.016658614,37.31130729
827559,827559_spOOS_nb_model_11,23,spei6,5,8.546856202,35.46478879
827559,827559_spOOS_nb_model_3,15,gravity,5,8.559656313,35.66311423
205839,205839_spOOS_nb_model_baseline,120,baseline,5,9.168493123,40.69490137
41619,41619_spOOS_nb_model_4,52,urban,5,8.518675154,35.38034187
279666,279666_spOOS_nb_model_2,74,tmean_coolest,5,8.508233991,35.71098202
412110,412110_spOOS_nb_model_11,71,spei6,5,8.61415559,35.80280542
41619,41619_spOOS_nb_model_4,52,urban,5,8.518675154,35.38034187
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
205839,205839_spOOS_nb_model_9,117,tmean,5,8.559901478,35.71036651
205839,205839_spOOS_nb_model_5,113,urbanexp10,5,8.680423843,36.00757563
93383,93383_spOOS_nb_model_4,4,urban,5,8.576588137,35.72397089
564117,564117_spOOS_nb_model_10,46,spei1,5,8.539004095,35.26141438
811847,811847_spOOS_nb_model_10,34,spei1,5,8.516730683,35.39974829
822913,822913_spOOS_nb_model_9,105,tmean,5,8.591873719,35.61296265
564117,564117_spOOS_nb_model_9,45,tmean,5,8.529712791,35.39376077
822913,822913_spOOS_nb_model_5,101,urbanexp10,5,8.733654027,36.11873255
205839,205839_spOOS_nb_model_5,113,urbanexp10,5,8.680423843,36.00757563
827559,827559_spOOS_nb_model_8,20,water,5,8.623444411,35.74039542
827559,827559_spOOS_nb_model_8,20,water,5,8.623444411,35.74039542
564117,564117_spOOS_nb_model_4,40,urban,5,8.500985399,35.20820068
279666,279666_spOOS_nb_model_1,73,full,5,8.427541349,35.28015638
564117,564117_spOOS_nb_model_7,43,flushany,5,8.782015707,36.15857594
93383,93383_spOOS_nb_model_9,9,tmean,5,8.612394681,35.9266044
614173,614173_spOOS_nb_model_baseline,96,baseline,5,9.179211631,40.44402259
205839,205839_spOOS_nb_model_10,118,spei1,5,8.578093571,35.7015207
811847,811847_spOOS_nb_model_baseline,36,baseline,5,9.25256319,40.9805539
811847,811847_spOOS_nb_model_baseline,36,baseline,5,9.25256319,40.9805539
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
564117,564117_spOOS_nb_model_1,37,full,5,8.473764905,35.10342714
93383,93383_spOOS_nb_model_7,7,flushany,5,8.884137985,36.90353014
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
412110,412110_spOOS_nb_model_6,66,traffic,5,8.611127919,36.08521822
205839,205839_spOOS_nb_model_10,118,spei1,5,8.578093571,35.7015207
93383,93383_spOOS_nb_model_7,7,flushany,5,8.884137985,36.90353014
614173,614173_spOOS_nb_model_8,92,water,5,8.687058081,36.22591766
93383,93383_spOOS_nb_model_5,5,urbanexp10,5,8.715395306,36.31278757
412110,412110_spOOS_nb_model_6,66,traffic,5,8.611127919,36.08521822
564117,564117_spOOS_nb_model_2,38,tmean_coolest,5,8.559964612,35.61632394
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
614173,614173_spOOS_nb_model_11,95,spei6,5,8.582595105,35.69196287
564117,564117_spOOS_nb_model_2,38,tmean_coolest,5,8.559964612,35.61632394
279666,279666_spOOS_nb_model_5,77,urbanexp10,5,8.575820795,35.52818241
564117,564117_spOOS_nb_model_5,41,urbanexp10,5,8.613792982,35.49026931
614173,614173_spOOS_nb_model_8,92,water,5,8.687058081,36.22591766
279666,279666_spOOS_nb_model_5,77,urbanexp10,5,8.575820795,35.52818241
827559,827559_spOOS_nb_model_4,16,urban,5,8.647534727,35.82173671
279666,279666_spOOS_nb_model_7,79,flushany,5,8.818399719,36.8452178
205839,205839_spOOS_nb_model_2,110,tmean_coolest,5,8.597958616,36.031923
279666,279666_spOOS_nb_model_3,75,gravity,5,8.416643555,35.40216681
811847,811847_spOOS_nb_model_3,27,gravity,5,8.436431016,35.48610016
205839,205839_spOOS_nb_model_6,114,traffic,5,8.536779641,36.07704657
205839,205839_spOOS_nb_model_11,119,spei6,5,8.579296764,35.90603611
614173,614173_spOOS_nb_model_10,94,spei1,5,8.640112293,35.72208439
811847,811847_spOOS_nb_model_1,25,full,5,8.497238857,35.4749605
279666,279666_spOOS_nb_model_8,80,water,5,8.520281583,35.64437492
41619,41619_spOOS_nb_model_1,49,full,5,8.475598099,35.29600344
811847,811847_spOOS_nb_model_5,29,urbanexp10,5,8.601331277,35.47074901
